Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
2020-01-22,17,0,17,0,0,0,0
2020-01-23,18,0,18,0,0,0,0
2020-01-24,26,0,26,0,0,0,0
2020-01-25,42,0,42,0,0,0,0
2020-01-26,56,0,56,0,0,0,0
2020-01-27,82,0,82,0,0,0,0
2020-01-28,131,0,131,0,0,0,0
2020-01-29,133,0,133,0,0,0,0
2020-01-30,172,0,171,1,0,0,0
2020-01-31,214,0,213,1,0,0,0
2020-02-01,260,0,259,1,0,0,0
2020-02-02,364,0,362,2,0,0,0
2020-02-03,428,0,426,2,0,0,0
2020-02-04,494,0,492,2,0,0,0
2020-02-05,566,0,564,2,0,0,0
2020-02-06,636,0,634,2,0,0,0
2020-02-07,721,0,719,2,0,0,0
2020-02-08,808,0,806,2,0,0,0
2020-02-09,908,0,906,2,0,0,0
2020-02-10,1015,0,1013,2,0,0,0
2020-02-11,1115,0,1113,2,0,0,0
2020-02-12,1120,0,1118,2,0,0,0
2020-02-13,1373,0,1371,2,0,0,0
2020-02-14,1525,0,1523,2,0,0,0
2020-02-15,1668,0,1665,3,0,0,0
2020-02-16,1772,0,1769,3,0,0,0
2020-02-17,1870,0,1867,3,0,0,0
2020-02-18,2010,0,2007,3,0,0,0
2020-02-19,2125,0,2122,3,0,0,0
2020-02-20,2248,0,2245,3,0,0,0
2020-02-21,2252,0,2248,4,0,0,0
2020-02-22,2460,0,2454,6,0,0,0
2020-02-23,2470,0,2463,7,0,0,0
2020-02-24,2630,0,2619,11,0,0,0
2020-02-25,2710,0,2696,14,0,0,0
2020-02-26,2770,0,2753,17,0,0,0
2020-02-27,2813,0,2791,22,0,0,0
2020-02-28,2870,0,2844,26,0,0,0
2020-02-29,2940,0,2904,35,1,0,0
2020-03-01,2994,0,2952,40,1,1,0
2020-03-02,3084,0,3017,60,6,1,0
2020-03-03,3158,0,3061,89,7,1,0
2020-03-04,3254,0,3122,119,11,2,0
2020-03-05,3349,0,3169,166,12,2,0
2020-03-06,3463,0,3223,223,14,2,1
2020-03-07,3567,0,3275,272,17,2,1
2020-03-08,3809,1,3361,420,21,3,3
2020-03-09,4003,1,3432,541,23,3,3
2020-03-10,4278,2,3508,733,29,3,3
2020-03-11,4629,2,3605,981,35,3,3
2020-03-12,4950,3,3703,1191,45,3,5
2020-03-13,5453,6,3807,1578,53,3,6
2020-03-14,5879,7,3929,1872,60,3,8
2020-03-15,6544,8,4060,2391,72,3,10
2020-03-16,7258,8,4211,2922,104,3,10
2020-03-17,8109,11,4370,3564,144,5,15
2020-03-18,9063,17,4558,4249,210,6,23
2020-03-19,10205,20,4733,5125,288,6,33
2020-03-20,11780,26,4909,6393,398,7,47
2020-03-21,13586,35,5068,7913,505,7,58
2020-03-22,15416,46,5274,9366,641,7,82
2020-03-23,17509,55,5432,11073,839,7,103
2020-03-24,19933,62,5603,13036,1091,8,133
2020-03-25,22904,73,5795,15420,1445,8,163
2020-03-26,26154,91,6040,17935,1878,13,197
2020-03-27,29792,115,6252,20761,2423,13,228
2020-03-28,33841,134,6469,23769,3173,14,282
2020-03-29,37659,151,6684,26711,3763,17,333
2020-03-30,42026,172,6896,30041,4512,18,387
2020-03-31,47190,198,7141,33703,5645,19,484
2020-04-01,53829,233,7444,38232,7327,21,572
2020-04-02,60070,285,7733,42355,8948,25,724
2020-04-03,66565,331,8015,46909,10454,29,827
2020-04-04,72923,382,8326,50992,12185,31,1007
2020-04-05,78842,442,8629,54674,13929,39,1129
2020-04-06,85267,487,8942,58702,15812,44,1280
2020-04-07,93780,533,9233,63946,18531,49,1488
2020-04-08,100995,573,9544,68258,20826,54,1740
2020-04-09,109143,627,9905,73294,23226,55,2036
2020-04-10,116882,690,10260,78008,25587,58,2279
2020-04-11,123861,742,10622,82070,27869,61,2497
2020-04-12,130373,788,11028,85819,29932,72,2734
2020-04-13,136883,833,11358,89520,32115,73,2984
2020-04-14,144235,873,11752,93372,34821,74,3343
2020-04-15,152999,910,12075,98557,37661,75,3721
2020-04-16,160704,965,12440,103093,40045,75,4086
2020-04-17,169583,1015,14095,107507,42380,78,4508
2020-04-18,176009,1058,14432,110921,44596,79,4923
2020-04-19,182108,1120,14801,114083,46786,85,5233
2020-04-20,188618,1159,15157,117341,49260,85,5616
2020-04-21,195809,1189,15534,120936,52042,85,6023
2020-04-22,203080,1240,15888,124605,54807,85,6455
2020-04-23,210351,1297,16239,128000,57537,93,7185
2020-04-24,217183,1324,16620,131342,59952,97,7848
2020-04-25,223230,1372,16969,134296,61978,98,8517
2020-04-26,228047,1422,17267,136594,63593,103,9068
2020-04-27,233491,1461,17623,139148,65353,103,9803
2020-04-28,240116,1522,17975,141733,67936,109,10841
2020-04-29,247096,1588,18351,144686,70704,111,11656
2020-04-30,253350,1634,18703,147096,73263,113,12541
2020-05-01,258937,1690,19026,149104,75462,113,13542
2020-05-02,264950,1759,19409,151526,77495,114,14647
2020-05-03,269226,1796,19686,153088,78952,116,15588
2020-05-04,274069,1842,20135,154912,80668,117,16395
2020-05-05,280212,1906,20504,156969,83286,118,17429
2020-05-06,286975,2006,20874,159350,86003,118,18624
2020-05-07,292842,2073,21242,161286,88346,118,19777
2020-05-08,298793,2154,21569,163308,90490,118,21154
2020-05-09,303709,2221,21899,164817,92329,118,22325
2020-05-10,308046,2290,22265,166030,93586,119,23756
2020-05-11,312124,2344,22568,167357,94872,119,24864
2020-05-12,317856,2395,22928,169024,96982,120,26407
2020-05-13,323292,2493,23300,170565,99103,120,27711
2020-05-14,329043,2562,23693,172318,101287,120,29063
2020-05-15,334799,2624,24032,173790,103342,120,30891
2020-05-16,339340,2708,24381,174964,104922,120,32245
2020-05-17,343218,2758,24794,176265,105973,121,33307
2020-05-18,347613,2831,25178,177323,107461,121,34699
2020-05-19,352581,2906,25570,178103,109318,122,36562
2020-05-20,357987,2990,25920,179323,111345,122,38287
2020-05-21,363022,3095,26329,180349,113079,123,40047
2020-05-22,368727,3183,26735,181969,114892,123,41825
2020-05-23,373180,3255,27121,182895,116266,124,43519
2020-05-24,376583,3354,27511,183542,117235,125,44816
2020-05-25,378276,3479,27850,182341,118178,125,46303
2020-05-26,383054,3591,28249,183606,119443,126,48039
2020-05-27,388273,3698,28719,184449,121481,126,49800
2020-05-28,393265,3791,29184,185302,123161,126,51701
2020-05-29,398421,3922,29749,186209,124764,126,53651
2020-05-30,402782,4069,30294,186996,126171,126,55126
2020-05-31,406071,4222,30828,187527,127028,126,56340
