Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
22/01/2020,0,0,0,0,0,0,0
23/01/2020,100,0,98,0,2,0,0
24/01/2020,287,0,283,2,2,0,0
25/01/2020,493,0,492,1,0,0,0
26/01/2020,683,0,676,0,3,4,0
27/01/2020,809,0,807,1,0,1,0
28/01/2020,2651,0,2646,4,1,0,0
29/01/2020,589,0,585,2,1,1,0
30/01/2020,2068,0,2065,0,0,3,0
31/01/2020,1690,0,1681,7,2,0,0
1/02/2020,2111,0,2102,6,0,3,0
2/02/2020,4749,0,4747,2,0,0,0
3/02/2020,3100,0,3089,8,3,0,0
4/02/2020,4012,0,4009,1,1,1,0
5/02/2020,3745,0,3743,1,1,0,0
6/02/2020,3162,0,3160,0,1,1,0
7/02/2020,3533,0,3528,2,2,1,0
8/02/2020,2731,0,2722,9,0,0,0
9/02/2020,3028,0,3025,3,0,0,0
10/02/2020,2538,0,2537,0,1,0,0
11/02/2020,2043,0,2038,4,1,0,0
12/02/2020,378,0,377,1,0,0,0
13/02/2020,15152,0,15150,1,1,0,0
14/02/2020,6485,1,6483,1,0,0,0
15/02/2020,2076,0,2075,1,0,0,0
16/02/2020,2113,0,2113,0,0,0,0
17/02/2020,1936,0,1934,1,1,0,0
18/02/2020,1794,0,1794,0,0,0,0
19/02/2020,421,0,420,1,0,0,0
20/02/2020,548,0,545,2,1,0,0
21/02/2020,630,0,608,18,4,0,0
22/02/2020,1762,0,1719,42,1,0,0
23/02/2020,325,0,223,99,1,0,2
24/02/2020,568,0,491,76,1,0,0
25/02/2020,854,1,743,107,3,0,0
26/02/2020,959,0,799,158,1,0,1
27/02/2020,1344,0,1092,249,3,0,0
28/02/2020,1424,1,1081,334,7,1,0
29/02/2020,1871,0,1492,352,16,10,1
1/03/2020,2379,1,1593,756,14,2,13
2/03/2020,1980,4,1383,560,30,3,0
3/03/2020,2611,3,1867,704,25,9,3
4/03/2020,2322,10,1228,1023,41,15,5
5/03/2020,2711,3,1291,1319,89,3,6
6/03/2020,3930,19,2031,1787,75,6,12
7/03/2020,4131,0,1759,2188,174,4,6
8/03/2020,3854,40,1201,2429,146,13,25
9/03/2020,4323,8,906,3284,103,15,7
10/03/2020,4786,13,1188,3333,210,16,26
11/03/2020,7504,14,1749,5248,443,21,29
12/03/2020,6756,16,1369,4831,520,0,20
13/03/2020,13194,42,1809,10342,772,75,154
14/03/2020,10886,76,1909,7907,865,51,78
15/03/2020,11230,65,1948,8748,354,49,66
16/03/2020,14559,87,1713,10769,1675,80,235
17/03/2020,15171,88,2005,10665,2043,79,291
18/03/2020,17551,118,2133,11977,2959,124,240
19/03/2020,27086,178,2140,19295,4873,127,473
20/03/2020,29531,182,2699,19020,6859,127,644
21/03/2020,32430,206,2556,21927,6731,299,711
22/03/2020,34171,253,3240,19310,9704,532,1132
23/03/2020,42549,383,3069,26172,11970,138,817
24/03/2020,41860,438,3620,25049,11472,425,856
25/03/2020,51478,523,5412,31330,13021,375,817
26/03/2020,60802,526,5726,33711,19190,529,1120
27/03/2020,63898,580,7087,34749,19887,419,1176
28/03/2020,69560,343,7188,36498,23620,580,1331
29/03/2020,56500,564,7206,29739,17553,407,1031
30/03/2020,65000,395,7235,32188,23740,458,984
31/03/2020,78427,586,10573,36613,28199,257,2199
1/04/2020,86310,599,8724,36663,37578,365,2381
2/04/2020,82401,656,9196,35385,34510,347,2307
3/04/2020,84193,881,8796,37914,34305,287,2010
4/04/2020,77147,682,9025,31120,33591,308,2421
5/04/2020,71691,685,9953,28233,30678,228,1914
6/04/2020,74665,716,10083,27505,34177,181,2003
7/04/2020,72406,628,9570,26937,32245,158,2868
8/04/2020,82134,806,10065,32709,33305,169,5080
9/04/2020,87121,793,10244,33501,38350,127,4106
10/04/2020,86418,694,11190,32613,36398,152,5371
11/04/2020,75461,714,11997,28353,31210,117,3070
12/04/2020,118548,869,11661,74845,28232,32,2909
