Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
22/01/2020,557,0,556,0,1,0,0
23/01/2020,657,0,654,0,3,0,0
24/01/2020,944,0,937,2,5,0,0
25/01/2020,1437,0,1429,3,5,0,0
26/01/2020,2120,0,2105,3,8,4,0
27/01/2020,2929,0,2912,4,8,5,0
28/01/2020,5580,0,5558,8,9,5,0
29/01/2020,6169,0,6143,10,10,6,0
30/01/2020,8237,0,8208,10,10,9,0
31/01/2020,9927,0,9889,17,12,9,0
1/02/2020,12038,0,11991,23,12,12,0
2/02/2020,16787,0,16738,25,12,12,0
3/02/2020,19887,0,19827,33,15,12,0
4/02/2020,23899,0,23836,34,16,13,0
5/02/2020,27644,0,27579,35,17,13,0
6/02/2020,30806,0,30739,35,18,14,0
7/02/2020,34339,0,34267,37,20,15,0
8/02/2020,37070,0,36989,46,20,15,0
9/02/2020,40098,0,40014,49,20,15,0
10/02/2020,42636,0,42551,49,21,15,0
11/02/2020,44679,0,44589,53,22,15,0
12/02/2020,45057,0,44966,54,22,15,0
13/02/2020,60209,0,60116,55,23,15,0
14/02/2020,66694,1,66599,56,23,15,0
15/02/2020,68770,1,68674,57,23,15,0
16/02/2020,70883,1,70787,57,23,15,0
17/02/2020,72819,1,72721,58,24,15,0
18/02/2020,74613,1,74515,58,24,15,0
19/02/2020,75034,1,74935,59,24,15,0
20/02/2020,75582,1,75480,61,25,15,0
21/02/2020,76212,1,76088,79,29,15,0
22/02/2020,77974,1,77807,121,30,15,0
23/02/2020,78299,1,78030,220,31,15,2
24/02/2020,78867,1,78521,296,32,15,2
25/02/2020,79721,2,79264,403,35,15,2
26/02/2020,80679,2,80063,560,36,15,3
27/02/2020,82023,2,81155,809,39,15,3
28/02/2020,83447,3,82236,1143,46,16,3
29/02/2020,85318,3,83728,1495,62,26,4
1/03/2020,87697,4,85321,2251,76,28,17
2/03/2020,89677,8,86704,2811,106,31,17
3/03/2020,92288,11,88571,3515,131,40,20
4/03/2020,94610,21,89799,4538,172,55,25
5/03/2020,97321,24,91090,5857,261,58,31
6/03/2020,101251,43,93121,7644,336,64,43
7/03/2020,105382,43,94880,9832,510,68,49
8/03/2020,109236,83,96081,12261,656,81,74
9/03/2020,113559,91,96987,15545,759,96,81
10/03/2020,118345,104,98175,18878,969,112,107
11/03/2020,125821,118,99896,24126,1412,133,136
12/03/2020,132577,134,101265,28957,1932,133,156
13/03/2020,145771,176,103074,39299,2704,208,310
14/03/2020,156657,252,104983,47206,3569,259,388
15/03/2020,167887,317,106931,55954,3923,308,454
16/03/2020,182446,404,108644,66723,5598,388,689
17/03/2020,197617,492,110649,77388,7641,467,980
18/03/2020,215168,610,112782,89365,10600,591,1220
19/03/2020,242254,788,114922,108660,15473,718,1693
20/03/2020,271783,970,117619,127680,22332,845,2337
21/03/2020,304207,1170,120175,149607,29063,1144,3048
22/03/2020,338378,1423,123415,168917,38767,1676,4180
23/03/2020,380927,1806,126484,195089,50737,1814,4997
24/03/2020,422772,2244,130104,220138,62209,2239,5838
25/03/2020,474250,2767,135516,251468,75230,2614,6655
26/03/2020,535052,3293,141242,285179,94420,3143,7775
27/03/2020,598950,3873,148329,319928,114307,3562,8951
28/03/2020,668510,4216,155517,356426,137927,4142,10282
29/03/2020,725010,4780,162723,386165,155480,4549,11313
30/03/2020,790010,5175,169958,418353,179220,5007,12297
31/03/2020,868437,5761,180531,454966,207419,5264,14496
1/04/2020,954747,6360,189255,491629,244997,5629,16877
2/04/2020,1037147,7016,198451,527014,279506,5976,19184
3/04/2020,1121340,7897,207247,564928,313811,6263,21194
4/04/2020,1181410,8579,216272,578972,347402,6570,23615
5/04/2020,1253101,9264,226225,607205,378080,6798,25529
6/04/2020,1327766,9980,236308,634710,412257,6979,27532
7/04/2020,1396678,10608,245878,658153,444502,7137,30400
8/04/2020,1478812,11414,255943,690862,477807,7306,35480
9/04/2020,1565933,12207,266187,724363,516157,7433,39586
10/04/2020,1652351,12901,277377,756976,552555,7585,44957
11/04/2020,1727812,13615,289374,785329,583765,7702,48027
12/04/2020,1846339,14484,301035,860174,611997,7734,50915
13/04/2020,1918084,15256,312610,885574,641865,7791,54988
14/04/2020,2002672,16227,324078,923731,672720,7872,58044
15/04/2020,2080921,17192,335543,955129,701890,7917,63250
16/04/2020,2175339,18360,347942,999241,734223,7960,67613
17/04/2020,2263176,19763,360753,1030917,770832,8028,72883
18/04/2020,2341364,21071,372954,1059799,800849,8087,78604
19/04/2020,2417649,22268,385231,1090202,828875,8138,82935
20/04/2020,2494079,23431,399306,1113643,862399,8162,87138
21/04/2020,2570119,24507,412982,1141496,891025,8189,91920
22/04/2020,2652127,25910,425201,1171111,924433,8204,97268
23/04/2020,2734782,27347,438030,1196351,960143,8219,104692
24/04/2020,2818311,29052,451032,1212775,995134,8239,122079
25/04/2020,2901426,30296,463037,1238046,1028840,8265,132942
26/04/2020,2972159,31828,474636,1260255,1057333,8284,139823
27/04/2020,3043153,33165,485642,1284174,1085111,8294,146767
28/04/2020,3118889,34784,497637,1308373,1112629,8320,157146
29/04/2020,3196195,36807,510612,1329746,1142932,8330,167768
30/04/2020,3279885,38753,523521,1352823,1176193,8347,180248
1/05/2020,3368842,40468,536892,1376213,1215032,8365,191872
2/05/2020,3447058,42705,549051,1398296,1245399,8388,203219
3/05/2020,3521054,44297,561464,1419434,1272157,8411,215291
4/05/2020,3598630,46951,575475,1440775,1299615,8435,227379
5/05/2020,3678281,48993,590402,1463131,1326956,8467,240332
6/05/2020,3768718,51535,606408,1490166,1355326,8487,256796
7/05/2020,3857267,54022,622081,1515157,1386993,8507,270507
8/05/2020,3947679,57647,638881,1538687,1417951,8514,285999
9/05/2020,4031919,60507,654019,1559775,1446108,8537,302973
10/05/2020,4107124,63086,672510,1579528,1468417,8549,315034
11/05/2020,4183287,66145,689066,1603060,1490757,8571,325688
12/05/2020,4268659,69312,706106,1625502,1517944,8581,341214
13/05/2020,4353050,72226,723083,1645904,1541973,8590,361274
14/05/2020,4448684,75344,743703,1666485,1572046,8621,382485
15/05/2020,4544996,78270,761482,1686904,1601558,8637,408145
16/05/2020,4638893,81273,781257,1704539,1629621,8647,433556
17/05/2020,4717217,84587,802061,1720969,1652108,8657,448835
18/05/2020,4806349,88255,822724,1737981,1678968,8671,469750
19/05/2020,4901950,91266,844894,1756262,1704473,8679,496376
20/05/2020,5007370,95057,867494,1774487,1731500,8688,530144
21/05/2020,5113310,99752,891742,1792131,1761911,8703,559071
22/05/2020,5220557,103620,915970,1810708,1790968,8707,590584
23/05/2020,5324643,107485,940357,1827653,1816342,8722,624084
24/05/2020,5417843,111605,964424,1841977,1841946,8722,649169
25/05/2020,5506048,115733,986225,1856200,1865832,8734,673324
26/05/2020,5598406,119444,1006527,1872356,1889797,8747,701535
27/05/2020,5700948,124524,1030394,1887478,1914336,8758,735458
28/05/2020,5820940,129440,1056331,1907537,1941402,8774,777456
29/05/2020,5942411,135186,1085188,1924141,1972006,8793,817097
30/05/2020,6077439,141304,1112763,1941232,1999998,8801,873341
31/05/2020,6180292,146551,1141967,1955759,2024219,8811,902985
1/06/2020,6280559,152336,1170099,1970585,2047134,8831,931574
2/06/2020,6403277,157214,1200660,1984522,2072931,8839,979111
3/06/2020,6514517,162311,1234062,1996484,2098042,8850,1014768
4/06/2020,6652824,169417,1266207,2016267,2132941,8857,1059135
5/06/2020,6786381,176603,1299323,2032828,2165604,8862,1103161
