Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
2020-01-22,557,0,556,0,1,0,0
2020-01-23,657,0,654,0,3,0,0
2020-01-24,944,0,937,2,5,0,0
2020-01-25,1437,0,1429,3,5,0,0
2020-01-26,2120,0,2105,3,8,4,0
2020-01-27,2929,0,2912,4,8,5,0
2020-01-28,5580,0,5558,8,9,5,0
2020-01-29,6169,0,6143,10,10,6,0
2020-01-30,8237,0,8208,10,10,9,0
2020-01-31,9927,0,9889,17,12,9,0
2020-02-01,12038,0,11991,23,12,12,0
2020-02-02,16787,0,16738,25,12,12,0
2020-02-03,19887,0,19827,33,15,12,0
2020-02-04,23899,0,23836,34,16,13,0
2020-02-05,27644,0,27579,35,17,13,0
2020-02-06,30806,0,30739,35,18,14,0
2020-02-07,34339,0,34267,37,20,15,0
2020-02-08,37070,0,36989,46,20,15,0
2020-02-09,40098,0,40014,49,20,15,0
2020-02-10,42636,0,42551,49,21,15,0
2020-02-11,44679,0,44589,53,22,15,0
2020-02-12,45057,0,44966,54,22,15,0
2020-02-13,60209,0,60116,55,23,15,0
2020-02-14,66694,1,66599,56,23,15,0
2020-02-15,68770,1,68674,57,23,15,0
2020-02-16,70883,1,70787,57,23,15,0
2020-02-17,72819,1,72721,58,24,15,0
2020-02-18,74613,1,74515,58,24,15,0
2020-02-19,75034,1,74935,59,24,15,0
2020-02-20,75582,1,75480,61,25,15,0
2020-02-21,76212,1,76088,79,29,15,0
2020-02-22,77974,1,77807,121,30,15,0
2020-02-23,78299,1,78030,220,31,15,2
2020-02-24,78867,1,78521,296,32,15,2
2020-02-25,79721,2,79264,403,35,15,2
2020-02-26,80679,2,80063,560,36,15,3
2020-02-27,82023,2,81155,809,39,15,3
2020-02-28,83447,3,82236,1143,46,16,3
2020-02-29,85318,3,83728,1495,62,26,4
2020-03-01,87697,4,85321,2251,76,28,17
2020-03-02,89677,8,86704,2811,106,31,17
2020-03-03,92288,11,88571,3515,131,40,20
2020-03-04,94610,21,89799,4538,172,55,25
2020-03-05,97321,24,91090,5857,261,58,31
2020-03-06,101251,43,93121,7644,336,64,43
2020-03-07,105382,43,94880,9832,510,68,49
2020-03-08,109236,83,96081,12261,656,81,74
2020-03-09,113559,91,96987,15545,759,96,81
2020-03-10,118345,104,98175,18878,969,112,107
2020-03-11,125821,118,99896,24126,1412,133,136
2020-03-12,132577,134,101265,28957,1932,133,156
2020-03-13,145771,176,103074,39299,2704,208,310
2020-03-14,156657,252,104983,47206,3569,259,388
2020-03-15,167887,317,106931,55954,3923,308,454
2020-03-16,182446,404,108644,66723,5598,388,689
2020-03-17,197617,492,110649,77388,7641,467,980
2020-03-18,215168,610,112782,89365,10600,591,1220
2020-03-19,242254,788,114922,108660,15473,718,1693
2020-03-20,271783,970,117619,127680,22332,845,2337
2020-03-21,304207,1170,120175,149607,29063,1144,3048
2020-03-22,338378,1423,123415,168917,38767,1676,4180
2020-03-23,380927,1806,126484,195089,50737,1814,4997
2020-03-24,422772,2244,130104,220138,62209,2239,5838
2020-03-25,474250,2767,135516,251468,75230,2614,6655
2020-03-26,535052,3293,141242,285179,94420,3143,7775
2020-03-27,598950,3873,148329,319928,114307,3562,8951
2020-03-28,668510,4216,155517,356426,137927,4142,10282
2020-03-29,725010,4780,162723,386165,155480,4549,11313
2020-03-30,790010,5175,169958,418353,179220,5007,12297
2020-03-31,868437,5761,180531,454966,207419,5264,14496
2020-04-01,954747,6360,189255,491629,244997,5629,16877
2020-04-02,1037147,7016,198451,527014,279506,5976,19184
2020-04-03,1121340,7897,207247,564928,313811,6263,21194
2020-04-04,1181410,8579,216272,578972,347402,6570,23615
2020-04-05,1253101,9264,226225,607205,378080,6798,25529
2020-04-06,1327766,9980,236308,634710,412257,6979,27532
2020-04-07,1396678,10608,245878,658153,444502,7137,30400
2020-04-08,1478812,11414,255943,690862,477807,7306,35480
2020-04-09,1565933,12207,266187,724363,516157,7433,39586
2020-04-10,1652351,12901,277377,756976,552555,7585,44957
2020-04-11,1727812,13615,289374,785329,583765,7702,48027
2020-04-12,1846339,14484,301035,860174,611997,7734,50915
2020-04-13,1918084,15256,312610,885574,641865,7791,54988
2020-04-14,2002672,16227,324078,923731,672720,7872,58044
2020-04-15,2080921,17192,335543,955129,701890,7917,63250
2020-04-16,2175339,18360,347942,999241,734223,7960,67613
2020-04-17,2263176,19763,360753,1030917,770832,8028,72883
2020-04-18,2341364,21071,372954,1059799,800849,8087,78604
2020-04-19,2417649,22268,385231,1090202,828875,8138,82935
2020-04-20,2494079,23431,399306,1113643,862399,8162,87138
2020-04-21,2570119,24507,412982,1141496,891025,8189,91920
2020-04-22,2652127,25910,425201,1171111,924433,8204,97268
2020-04-23,2734782,27347,438030,1196351,960143,8219,104692
2020-04-24,2818311,29052,451032,1212775,995134,8239,122079
2020-04-25,2901426,30296,463037,1238046,1028840,8265,132942
2020-04-26,2972159,31828,474636,1260255,1057333,8284,139823
2020-04-27,3043153,33165,485642,1284174,1085111,8294,146767
2020-04-28,3118889,34784,497637,1308373,1112629,8320,157146
2020-04-29,3196195,36807,510612,1329746,1142932,8330,167768
2020-04-30,3279885,38753,523521,1352823,1176193,8347,180248
2020-05-01,3368842,40468,536892,1376213,1215032,8365,191872
2020-05-02,3447058,42705,549051,1398296,1245399,8388,203219
2020-05-03,3521054,44297,561464,1419434,1272157,8411,215291
